DogName,CollarID,x,y,Timestamp,DOP,State,Sex
Abel,27416,24.2773759,-18.2763016,2019-01-13T07:00:27Z,1.4,Resident,M
Abel,27416,24.3626051,-18.2242155,2019-01-13T03:00:58Z,1.4,Resident,M
Abel,27416,24.3626324,-18.2242421,2019-01-12T23:00:46Z,1,Resident,M
Abel,27416,24.3629187,-18.2240127,2019-01-12T19:00:46Z,1.2,Resident,M
Abel,27416,24.3686478,-18.2198596,2019-01-12T15:00:42Z,1,Resident,M
Abel,27416,24.3691232,-18.219853,2019-01-12T07:00:35Z,1,Resident,M
Abel,27416,24.408622,-18.2013556,2019-01-12T03:01:20Z,1.4,Resident,M
Abel,27416,24.4086594,-18.2013596,2019-01-11T23:00:38Z,1.2,Resident,M
Abel,27416,24.4085922,-18.2013391,2019-01-11T19:00:32Z,1.2,Resident,M
Abel,27416,24.3777625,-18.2180209,2019-01-11T15:01:05Z,1.2,Resident,M
Abel,27416,24.3808906,-18.2140278,2019-01-11T07:00:28Z,1.2,Resident,M
Abel,27416,24.3330673,-18.2362383,2019-01-11T03:00:33Z,1,Resident,M
Abel,27416,24.3296315,-18.2376374,2019-01-10T23:00:35Z,1,Resident,M
Abel,27416,24.3285404,-18.2380069,2019-01-10T19:00:46Z,1.2,Resident,M
Abel,27416,24.3772363,-18.2201229,2019-01-10T15:00:39Z,1.4,Resident,M
Abel,27416,24.3771424,-18.2202324,2019-01-10T07:00:38Z,1.6,Resident,M
Abel,27416,24.3935698,-18.2164038,2019-01-10T03:00:43Z,1,Resident,M
Abel,27416,24.393544,-18.2165017,2019-01-09T23:00:45Z,1,Resident,M
Abel,27416,24.3935324,-18.2164598,2019-01-09T19:00:39Z,1.2,Resident,M
Abel,27416,24.403831,-18.2069232,2019-01-09T15:00:48Z,1.2,Resident,M
Abel,27416,24.4035737,-18.2071666,2019-01-09T07:00:30Z,1,Resident,M
Abel,27416,24.3515395,-18.2210899,2019-01-09T03:00:40Z,1.2,Resident,M
Abel,27416,24.3512087,-18.2209089,2019-01-08T23:01:06Z,1.2,Resident,M
Abel,27416,24.3505136,-18.2208985,2019-01-08T19:00:20Z,1.4,Resident,M
Abel,27416,24.3278978,-18.1918355,2019-01-08T15:00:45Z,1,Resident,M
Abel,27416,24.3276671,-18.1918387,2019-01-08T09:00:27Z,1.4,Resident,M
Abel,27416,24.3294723,-18.1898177,2019-01-08T07:00:34Z,2.4,Resident,M
Abel,27416,24.2494733,-18.0868676,2019-01-08T05:00:22Z,1.2,Resident,M
Abel,27416,24.2131604,-18.0901898,2019-01-08T03:00:23Z,1.4,Resident,M
Abel,27416,24.2127822,-18.0901425,2019-01-08T01:00:12Z,1.2,Resident,M
Abel,27416,24.212711,-18.0901295,2019-01-07T23:00:35Z,1,Resident,M
Abel,27416,24.2122945,-18.0904435,2019-01-07T21:00:20Z,1.2,Resident,M
Abel,27416,24.2127434,-18.0901255,2019-01-07T19:00:46Z,1.2,Resident,M
Abel,27416,24.2126757,-18.0901919,2019-01-07T17:00:40Z,1.4,Resident,M
Abel,27416,24.2362007,-18.1143358,2019-01-07T15:00:28Z,1.2,Resident,M
Abel,27416,24.2360696,-18.1139475,2019-01-07T07:00:41Z,1,Resident,M
Abel,27416,24.289979,-18.2059317,2019-01-07T03:00:50Z,1.2,Resident,M
Abel,27416,24.2900063,-18.2059926,2019-01-06T23:00:45Z,1,Resident,M
Abel,27416,24.2898882,-18.2063418,2019-01-06T19:00:42Z,1.2,Resident,M
Abel,27416,24.2995378,-18.2117869,2019-01-06T15:00:41Z,1.4,Resident,M
